timestamp,s1,s2,s3
2025-06-24 09:25:03.07,0.0,0.0,0.0
2025-06-24 09:25:03.07,0.0,0.0,0.0
2025-06-24 09:25:03.08,0.0,0.0,0.0
2025-06-24 09:25:03.08,0.0,0.0,0.0
2025-06-24 09:25:03.08,0.0,0.0,0.0
2025-06-24 09:25:03.08,0.0,0.0,0.0
2025-06-24 09:25:03.09,0.0,0.0,0.0
2025-06-24 09:25:03.09,0.0,0.0,0.0
2025-06-24 09:25:03.09,0.0,0.0,0.0
2025-06-24 09:25:03.09,0.0,0.0,0.0
2025-06-24 09:25:03.09,0.0,0.0,0.0
2025-06-24 09:25:03.10,0.0,0.0,0.0
2025-06-24 09:25:03.10,0.0,0.0,0.0
2025-06-24 09:25:03.10,0.0,0.0,0.0
2025-06-24 09:25:03.10,0.0,0.0,0.0
2025-06-24 09:25:03.10,0.0,0.0,0.0
2025-06-24 09:25:03.11,0.0,0.0,0.0
2025-06-24 09:25:03.11,0.0,0.0,0.0
2025-06-24 09:25:03.11,0.0,0.0,0.0
2025-06-24 09:25:03.11,0.0,0.0,0.0
2025-06-24 09:25:03.12,0.0,0.0,0.0
2025-06-24 09:25:03.12,0.0,0.0,0.0
2025-06-24 09:25:03.12,0.0,0.0,0.0
2025-06-24 09:25:03.12,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.13,0.0,0.0,0.0
2025-06-24 09:25:03.14,0.0,0.0,0.0
2025-06-24 09:25:03.14,0.0,0.0,0.0
2025-06-24 09:25:03.14,0.0,0.0,0.0
2025-06-24 09:25:03.14,0.0,0.0,0.0
2025-06-24 09:25:03.15,0.0,0.0,0.0
2025-06-24 09:25:03.15,0.0,0.0,0.0
2025-06-24 09:25:03.15,0.0,0.0,0.0
2025-06-24 09:25:03.15,0.0,0.0,0.0
2025-06-24 09:25:03.16,0.0,0.0,0.0
2025-06-24 09:25:03.16,0.0,0.0,0.0
2025-06-24 09:25:03.16,0.0,0.0,0.0
2025-06-24 09:25:03.16,0.0,0.0,0.0
2025-06-24 09:25:03.17,0.0,0.0,0.0
2025-06-24 09:25:03.17,0.0,0.0,0.0
2025-06-24 09:25:03.17,0.0,0.0,0.0
2025-06-24 09:25:03.17,0.0,0.0,0.0
2025-06-24 09:25:03.18,0.0,0.0,0.0
2025-06-24 09:25:03.18,0.0,0.0,0.0
2025-06-24 09:25:03.18,0.0,0.0,0.0
2025-06-24 09:25:03.19,0.0,0.0,0.0
2025-06-24 09:25:03.19,0.0,0.0,0.0
2025-06-24 09:25:03.19,0.0,0.0,0.0
2025-06-24 09:25:03.19,0.0,0.0,0.0
2025-06-24 09:25:03.20,0.0,0.0,0.0
2025-06-24 09:25:03.20,0.0,0.0,0.0
2025-06-24 09:25:03.20,0.0,0.0,0.0
2025-06-24 09:25:03.20,0.0,0.0,0.0
2025-06-24 09:25:03.21,0.0,0.0,0.0
2025-06-24 09:25:03.21,0.0,0.0,0.0
2025-06-24 09:25:03.21,0.0,0.0,0.0
2025-06-24 09:25:03.21,0.0,0.0,0.0
2025-06-24 09:25:03.22,0.0,0.0,0.0
2025-06-24 09:25:03.22,0.0,0.0,0.0
2025-06-24 09:25:03.22,0.0,0.0,0.0
2025-06-24 09:25:03.22,0.0,0.0,0.0
2025-06-24 09:25:03.22,0.0,0.0,0.0
2025-06-24 09:25:03.23,0.0,0.0,0.0
2025-06-24 09:25:03.23,0.0,0.0,0.0
2025-06-24 09:25:03.23,0.0,0.0,0.0
2025-06-24 09:25:03.23,0.0,0.0,0.0
2025-06-24 09:25:03.23,0.0,0.0,0.0
2025-06-24 09:25:03.24,0.0,0.0,0.0
2025-06-24 09:25:03.24,0.0,0.0,0.0
2025-06-24 09:25:03.24,0.0,0.0,0.0
2025-06-24 09:25:03.25,0.0,0.0,0.0
2025-06-24 09:25:03.25,0.0,0.0,0.0
2025-06-24 09:25:03.25,0.0,0.0,0.0
2025-06-24 09:25:03.25,0.0,0.0,0.0
2025-06-24 09:25:03.26,0.0,0.0,0.0
2025-06-24 09:25:03.26,0.0,0.0,0.0
2025-06-24 09:25:03.26,0.0,0.0,0.0
2025-06-24 09:25:03.26,0.0,0.0,0.0
2025-06-24 09:25:03.26,0.0,0.0,0.0
2025-06-24 09:25:03.27,0.0,0.0,0.0
2025-06-24 09:25:03.27,0.0,0.0,0.0
2025-06-24 09:25:03.27,0.0,0.0,0.0
2025-06-24 09:25:03.27,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.28,0.0,0.0,0.0
2025-06-24 09:25:03.29,0.0,0.0,0.0
2025-06-24 09:25:03.29,0.0,0.0,0.0
2025-06-24 09:25:03.29,0.0,0.0,0.0
2025-06-24 09:25:03.29,0.0,0.0,0.0
2025-06-24 09:25:03.29,0.0,0.0,0.0
2025-06-24 09:25:03.30,0.0,0.0,0.0
2025-06-24 09:25:03.30,0.0,0.0,0.0
2025-06-24 09:25:03.30,0.0,0.0,0.0
2025-06-24 09:25:03.30,0.0,0.0,0.0
2025-06-24 09:25:03.30,0.0,0.0,0.0
2025-06-24 09:25:03.31,0.0,0.0,0.0
2025-06-24 09:25:03.31,0.0,0.0,0.0
2025-06-24 09:25:03.31,0.0,0.0,0.0
2025-06-24 09:25:03.31,0.0,0.0,0.0
2025-06-24 09:25:03.32,0.0,0.0,0.0
2025-06-24 09:25:03.32,0.0,0.0,0.0
2025-06-24 09:25:03.32,0.0,0.0,0.0
2025-06-24 09:25:03.32,0.0,0.0,0.0
2025-06-24 09:25:03.33,0.0,0.0,0.0
2025-06-24 09:25:03.33,0.0,0.0,0.0
2025-06-24 09:25:03.33,0.0,0.0,0.0
2025-06-24 09:25:03.33,0.0,0.0,0.0
2025-06-24 09:25:03.33,0.0,0.0,0.0
2025-06-24 09:25:03.34,0.0,0.0,0.0
2025-06-24 09:25:03.34,0.0,0.0,0.0
2025-06-24 09:25:03.34,0.0,0.0,0.0
2025-06-24 09:25:03.35,0.0,0.0,0.0
2025-06-24 09:25:03.35,0.0,0.0,0.0
2025-06-24 09:25:03.35,0.0,0.0,0.0
2025-06-24 09:25:03.35,0.0,0.0,0.0
2025-06-24 09:25:03.35,0.0,0.0,0.0
2025-06-24 09:25:03.36,0.0,0.0,0.0
2025-06-24 09:25:03.36,0.0,0.0,0.0
2025-06-24 09:25:03.36,0.0,0.0,0.0
2025-06-24 09:25:03.36,0.0,0.0,0.0
2025-06-24 09:25:03.36,0.0,0.0,0.0
2025-06-24 09:25:03.37,0.0,0.0,0.0
2025-06-24 09:25:03.37,0.0,0.0,0.0
2025-06-24 09:25:03.37,0.0,0.0,0.0
2025-06-24 09:25:03.37,0.0,0.0,0.0
2025-06-24 09:25:03.38,0.0,0.0,0.0
2025-06-24 09:25:03.38,0.0,0.0,0.0
2025-06-24 09:25:03.38,0.0,0.0,0.0
2025-06-24 09:25:03.38,0.0,0.0,0.0
2025-06-24 09:25:03.38,0.0,0.0,0.0
2025-06-24 09:25:03.39,0.0,0.0,0.0
2025-06-24 09:25:03.39,0.0,0.0,0.0
2025-06-24 09:25:03.39,0.0,0.0,0.0
2025-06-24 09:25:03.39,0.0,0.0,0.0
2025-06-24 09:25:03.40,0.0,0.0,0.0
2025-06-24 09:25:03.40,0.0,0.0,0.0
2025-06-24 09:25:03.40,0.0,0.0,0.0
2025-06-24 09:25:03.40,0.0,0.0,0.0
2025-06-24 09:25:03.41,0.0,0.0,0.0
2025-06-24 09:25:03.41,0.0,0.0,0.0
2025-06-24 09:25:03.41,0.0,0.0,0.0
2025-06-24 09:25:03.41,0.0,0.0,0.0
2025-06-24 09:25:03.41,0.0,0.0,0.0
2025-06-24 09:25:03.42,0.0,0.0,0.0
2025-06-24 09:25:03.42,0.0,0.0,0.0
2025-06-24 09:25:03.42,0.0,0.0,0.0
2025-06-24 09:25:03.43,0.0,0.0,0.0
2025-06-24 09:25:03.43,0.0,0.0,0.0
2025-06-24 09:25:03.43,0.0,0.0,0.0
2025-06-24 09:25:03.43,0.0,0.0,0.0
2025-06-24 09:25:03.44,0.0,0.0,0.0
2025-06-24 09:25:03.45,0.0,0.0,0.0
2025-06-24 09:25:03.45,0.0,0.0,0.0
2025-06-24 09:25:03.45,0.0,0.0,0.0
2025-06-24 09:25:03.45,0.0,0.0,0.0
2025-06-24 09:25:03.45,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.46,0.0,0.0,0.0
2025-06-24 09:25:03.47,0.0,0.0,0.0
2025-06-24 09:25:03.47,0.0,0.0,0.0
2025-06-24 09:25:03.48,0.0,0.0,0.0
2025-06-24 09:25:03.48,0.0,0.0,0.0
2025-06-24 09:25:03.48,0.0,0.0,0.0
2025-06-24 09:25:03.48,0.0,0.0,0.0
2025-06-24 09:25:03.48,0.0,0.0,0.0
2025-06-24 09:25:03.49,0.0,0.0,0.0
2025-06-24 09:25:03.49,0.0,0.0,0.0
2025-06-24 09:25:03.49,0.0,0.0,0.0
2025-06-24 09:25:03.49,0.0,0.0,0.0
2025-06-24 09:25:03.50,0.0,0.0,0.0
2025-06-24 09:25:03.50,0.0,0.0,0.0
2025-06-24 09:25:03.50,0.0,0.0,0.0
2025-06-24 09:25:03.50,0.0,0.0,0.0
2025-06-24 09:25:03.51,0.0,0.0,0.0
2025-06-24 09:25:03.51,0.0,0.0,0.0
2025-06-24 09:25:03.51,0.0,0.0,0.0
2025-06-24 09:25:03.51,0.0,0.0,0.0
2025-06-24 09:25:03.52,0.0,0.0,0.0
2025-06-24 09:25:03.52,0.0,0.0,0.0
2025-06-24 09:25:03.52,0.0,0.0,0.0
2025-06-24 09:25:03.52,0.0,0.0,0.0
2025-06-24 09:25:03.52,0.0,0.0,0.0
2025-06-24 09:25:03.53,0.0,0.0,0.0
2025-06-24 09:25:03.53,0.0,0.0,0.0
2025-06-24 09:25:03.53,0.0,0.0,0.0
2025-06-24 09:25:03.53,0.0,0.0,0.0
2025-06-24 09:25:03.53,0.0,0.0,0.0
2025-06-24 09:25:03.54,0.0,0.0,0.0
2025-06-24 09:25:03.54,0.0,0.0,0.0
2025-06-24 09:25:03.54,0.0,0.0,0.0
2025-06-24 09:25:03.54,0.0,0.0,0.0
2025-06-24 09:25:03.54,0.0,0.0,0.0
2025-06-24 09:25:03.55,0.0,0.0,0.0
2025-06-24 09:25:03.55,0.0,0.0,0.0
2025-06-24 09:25:03.55,0.0,0.0,0.0
2025-06-24 09:25:03.56,0.0,0.0,0.0
2025-06-24 09:25:03.56,0.0,0.0,0.0
2025-06-24 09:25:03.56,0.0,0.0,0.0
2025-06-24 09:25:03.56,0.0,0.0,0.0
2025-06-24 09:25:03.57,0.0,0.0,0.0
2025-06-24 09:25:03.57,0.0,0.0,0.0
2025-06-24 09:25:03.57,0.0,0.0,0.0
2025-06-24 09:25:03.57,0.0,0.0,0.0
2025-06-24 09:25:03.57,0.0,0.0,0.0
2025-06-24 09:25:03.58,0.0,0.0,0.0
2025-06-24 09:25:03.58,0.0,0.0,0.0
2025-06-24 09:25:03.58,0.0,0.0,0.0
2025-06-24 09:25:03.58,0.0,0.0,0.0
2025-06-24 09:25:03.59,0.0,0.0,0.0
2025-06-24 09:25:03.59,0.0,0.0,0.0
2025-06-24 09:25:03.59,0.0,0.0,0.0
2025-06-24 09:25:03.59,0.0,0.0,0.0
2025-06-24 09:25:03.59,0.0,0.0,0.0
2025-06-24 09:25:03.60,0.0,0.0,0.0
2025-06-24 09:25:03.60,0.0,0.0,0.0
2025-06-24 09:25:03.60,0.0,0.0,0.0
2025-06-24 09:25:03.60,0.0,0.0,0.0
2025-06-24 09:25:03.61,0.0,0.0,0.0
2025-06-24 09:25:03.61,0.0,0.0,0.0
2025-06-24 09:25:03.61,0.0,0.0,0.0
2025-06-24 09:25:03.61,0.0,0.0,0.0
2025-06-24 09:25:03.61,0.0,0.0,0.0
2025-06-24 09:25:03.62,0.0,0.0,0.0
2025-06-24 09:25:03.62,0.0,0.0,0.0
2025-06-24 09:25:03.62,0.0,0.0,0.0
2025-06-24 09:25:03.62,0.0,0.0,0.0
2025-06-24 09:25:03.63,0.0,0.0,0.0
2025-06-24 09:25:03.63,0.0,0.0,0.0
2025-06-24 09:25:03.63,0.0,0.0,0.0
2025-06-24 09:25:03.63,0.0,0.0,0.0
2025-06-24 09:25:03.63,0.0,0.0,0.0
2025-06-24 09:25:03.64,0.0,0.0,0.0
2025-06-24 09:25:03.64,0.0,0.0,0.0
2025-06-24 09:25:03.64,0.0,0.0,0.0
2025-06-24 09:25:03.64,0.0,0.0,0.0
2025-06-24 09:25:03.65,0.0,0.0,0.0
2025-06-24 09:25:03.65,0.0,0.0,0.0
2025-06-24 09:25:03.65,0.0,0.0,0.0
2025-06-24 09:25:03.65,0.0,0.0,0.0
2025-06-24 09:25:03.66,0.0,0.0,0.0
2025-06-24 09:25:03.66,0.0,0.0,0.0
2025-06-24 09:25:03.66,0.0,0.0,0.0
2025-06-24 09:25:03.67,0.0,0.0,0.0
2025-06-24 09:25:03.67,0.0,0.0,0.0
2025-06-24 09:25:03.67,0.0,0.0,0.0
2025-06-24 09:25:03.67,0.0,0.0,0.0
2025-06-24 09:25:03.68,0.0,0.0,0.0
2025-06-24 09:25:03.68,0.0,0.0,0.0
2025-06-24 09:25:03.68,0.0,0.0,0.0
2025-06-24 09:25:03.68,0.0,0.0,0.0
2025-06-24 09:25:03.68,0.0,0.0,0.0
2025-06-24 09:25:03.69,0.0,0.0,0.0
2025-06-24 09:25:03.69,0.0,0.0,0.0
2025-06-24 09:25:03.69,0.0,0.0,0.0
2025-06-24 09:25:03.69,0.0,0.0,0.0
2025-06-24 09:25:03.70,0.0,0.0,0.0
2025-06-24 09:25:03.70,0.0,0.0,0.0
2025-06-24 09:25:03.70,0.0,0.0,0.0
2025-06-24 09:25:03.70,0.0,0.0,0.0
2025-06-24 09:25:03.70,0.0,0.0,0.0
2025-06-24 09:25:03.71,0.0,0.0,0.0
2025-06-24 09:25:03.71,0.0,0.0,0.0
2025-06-24 09:25:03.71,0.0,0.0,0.0
2025-06-24 09:25:03.71,0.0,0.0,0.0
2025-06-24 09:25:03.71,0.0,0.0,0.0
2025-06-24 09:25:03.72,0.0,0.0,0.0
2025-06-24 09:25:03.72,0.0,0.0,0.0
2025-06-24 09:25:03.72,0.0,0.0,0.0
2025-06-24 09:25:03.72,0.0,0.0,0.0
2025-06-24 09:25:03.72,0.0,0.0,0.0
2025-06-24 09:25:03.73,0.0,0.0,0.0
2025-06-24 09:25:03.73,0.0,0.0,0.0
2025-06-24 09:25:03.73,0.0,0.0,0.0
2025-06-24 09:25:03.73,0.0,0.0,0.0
2025-06-24 09:25:03.73,0.0,0.0,0.0
2025-06-24 09:25:03.74,0.0,0.0,0.0
2025-06-24 09:25:03.74,0.0,0.0,0.0
2025-06-24 09:25:03.74,0.0,0.0,0.0
2025-06-24 09:25:03.75,0.0,0.0,0.0
2025-06-24 09:25:03.75,0.0,0.0,0.0
2025-06-24 09:25:03.75,0.0,0.0,0.0
2025-06-24 09:25:03.75,0.0,0.0,0.0
2025-06-24 09:25:03.75,0.0,0.0,0.0
2025-06-24 09:25:03.76,0.0,0.0,0.0
2025-06-24 09:25:03.76,0.0,0.0,0.0
2025-06-24 09:25:03.76,0.0,0.0,0.0
2025-06-24 09:25:03.76,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.77,0.0,0.0,0.0
2025-06-24 09:25:03.78,0.0,0.0,0.0
2025-06-24 09:25:03.78,0.0,0.0,0.0
2025-06-24 09:25:03.78,0.0,0.0,0.0
2025-06-24 09:25:03.78,0.0,0.0,0.0
2025-06-24 09:25:03.78,0.0,0.0,0.0
2025-06-24 09:25:03.79,0.0,0.0,0.0
2025-06-24 09:25:03.79,0.0,0.0,0.0
2025-06-24 09:25:03.79,0.0,0.0,0.0
2025-06-24 09:25:03.79,0.0,0.0,0.0
2025-06-24 09:25:03.79,0.0,0.0,0.0
2025-06-24 09:25:03.80,0.0,0.0,0.0
2025-06-24 09:25:03.80,0.0,0.0,0.0
2025-06-24 09:25:03.80,0.0,0.0,0.0
2025-06-24 09:25:03.80,0.0,0.0,0.0
2025-06-24 09:25:03.80,0.0,0.0,0.0
2025-06-24 09:25:03.81,0.0,0.0,0.0
2025-06-24 09:25:03.81,0.0,0.0,0.0
2025-06-24 09:25:03.81,0.0,0.0,0.0
2025-06-24 09:25:03.81,0.0,0.0,0.0
2025-06-24 09:25:03.82,0.0,0.0,0.0
2025-06-24 09:25:03.82,0.0,0.0,0.0
2025-06-24 09:25:03.82,0.0,0.0,0.0
2025-06-24 09:25:03.82,0.0,0.0,0.0
2025-06-24 09:25:03.83,0.0,0.0,0.0
2025-06-24 09:25:03.83,0.0,0.0,0.0
2025-06-24 09:25:03.83,0.0,0.0,0.0
2025-06-24 09:25:03.83,0.0,0.0,0.0
2025-06-24 09:25:03.83,0.0,0.0,0.0
2025-06-24 09:25:03.84,0.0,0.0,0.0
2025-06-24 09:25:03.84,0.0,0.0,0.0
2025-06-24 09:25:03.85,0.0,0.0,0.0
2025-06-24 09:25:03.85,0.0,0.0,0.0
2025-06-24 09:25:03.85,0.0,0.0,0.0
2025-06-24 09:25:03.85,0.0,0.0,0.0
2025-06-24 09:25:03.86,0.0,0.0,0.0
2025-06-24 09:25:03.86,0.0,0.0,0.0
2025-06-24 09:25:03.86,0.0,0.0,0.0
2025-06-24 09:25:03.86,0.0,0.0,0.0
2025-06-24 09:25:03.87,0.0,0.0,0.0
2025-06-24 09:25:03.87,0.0,0.0,0.0
2025-06-24 09:25:03.87,0.0,0.0,0.0
2025-06-24 09:25:03.87,0.0,0.0,0.0
2025-06-24 09:25:03.88,0.0,0.0,0.0
2025-06-24 09:25:03.88,0.0,0.0,0.0
2025-06-24 09:25:03.88,0.0,0.0,0.0
2025-06-24 09:25:03.88,0.0,0.0,0.0
2025-06-24 09:25:03.88,0.0,0.0,0.0
2025-06-24 09:25:03.89,0.0,0.0,0.0
2025-06-24 09:25:03.89,0.0,0.0,0.0
2025-06-24 09:25:03.89,0.0,0.0,0.0
2025-06-24 09:25:03.89,0.0,0.0,0.0
2025-06-24 09:25:03.90,0.0,0.0,0.0
2025-06-24 09:25:03.90,0.0,0.0,0.0
2025-06-24 09:25:03.90,0.0,0.0,0.0
2025-06-24 09:25:03.90,0.0,0.0,0.0
2025-06-24 09:25:03.91,0.0,0.0,0.0
2025-06-24 09:25:03.91,0.0,0.0,0.0
2025-06-24 09:25:03.91,0.0,0.0,0.0
2025-06-24 09:25:03.92,0.0,0.0,0.0
2025-06-24 09:25:03.92,0.0,0.0,0.0
2025-06-24 09:25:03.92,0.0,0.0,0.0
2025-06-24 09:25:03.92,0.0,0.0,0.0
2025-06-24 09:25:03.93,0.0,0.0,0.0
2025-06-24 09:25:03.93,0.0,0.0,0.0
2025-06-24 09:25:03.93,0.0,0.0,0.0
2025-06-24 09:25:03.94,0.0,0.0,0.0
2025-06-24 09:25:03.94,0.0,0.0,0.0
2025-06-24 09:25:03.94,0.0,0.0,0.0
2025-06-24 09:25:03.94,0.0,0.0,0.0
2025-06-24 09:25:03.94,0.0,0.0,0.0
2025-06-24 09:25:03.95,0.0,0.0,0.0
2025-06-24 09:25:03.95,0.0,0.0,0.0
2025-06-24 09:25:03.95,0.0,0.0,0.0
2025-06-24 09:25:03.96,0.0,0.0,0.0
2025-06-24 09:25:03.96,0.0,0.0,0.0
2025-06-24 09:25:03.96,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.97,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.98,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:03.99,0.0,0.0,0.0
2025-06-24 09:25:04.00,0.0,0.0,0.0
2025-06-24 09:25:04.00,0.0,0.0,0.0
2025-06-24 09:25:04.00,0.0,0.0,0.0
2025-06-24 09:25:04.01,0.0,0.0,0.0
2025-06-24 09:25:04.01,0.0,0.0,0.0
2025-06-24 09:25:04.01,0.0,0.0,0.0
2025-06-24 09:25:04.01,0.0,0.0,0.0
2025-06-24 09:25:04.02,0.0,0.0,0.0
2025-06-24 09:25:04.02,0.0,0.0,0.0
2025-06-24 09:25:04.02,0.0,0.0,0.0
2025-06-24 09:25:04.02,0.0,0.0,0.0
2025-06-24 09:25:04.02,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.03,0.0,0.0,0.0
2025-06-24 09:25:04.04,0.0,0.0,0.0
2025-06-24 09:25:04.04,0.0,0.0,0.0
2025-06-24 09:25:04.04,0.0,0.0,0.0
2025-06-24 09:25:04.04,0.0,0.0,0.0
2025-06-24 09:25:04.05,0.0,0.0,0.0
2025-06-24 09:25:04.05,0.0,0.0,0.0
2025-06-24 09:25:04.05,0.0,0.0,0.0
2025-06-24 09:25:04.05,0.0,0.0,0.0
2025-06-24 09:25:04.05,0.0,0.0,0.0
2025-06-24 09:25:04.06,0.0,0.0,0.0
2025-06-24 09:25:04.06,0.0,0.0,0.0
2025-06-24 09:25:04.06,0.0,0.0,0.0
2025-06-24 09:25:04.07,0.0,0.0,0.0
2025-06-24 09:25:04.07,0.0,0.0,0.0
2025-06-24 09:25:04.07,0.0,0.0,0.0
2025-06-24 09:25:04.07,0.0,0.0,0.0
2025-06-24 09:25:04.08,0.0,0.0,0.0
2025-06-24 09:25:04.08,0.0,0.0,0.0
2025-06-24 09:25:04.08,0.0,0.0,0.0
2025-06-24 09:25:04.08,0.0,0.0,0.0
2025-06-24 09:25:04.08,0.0,0.0,0.0
2025-06-24 09:25:04.09,0.0,0.0,0.0
2025-06-24 09:25:04.09,0.0,0.0,0.0
2025-06-24 09:25:04.09,0.0,0.0,0.0
2025-06-24 09:25:04.10,0.0,0.0,0.0
2025-06-24 09:25:04.10,0.0,0.0,0.0
2025-06-24 09:25:04.10,0.0,0.0,0.0
2025-06-24 09:25:04.10,0.0,0.0,0.0
2025-06-24 09:25:04.10,0.0,0.0,0.0
2025-06-24 09:25:04.11,0.0,0.0,0.0
2025-06-24 09:25:04.11,0.0,0.0,0.0
2025-06-24 09:25:04.11,0.0,0.0,0.0
2025-06-24 09:25:04.11,0.0,0.0,0.0
2025-06-24 09:25:04.12,0.0,0.0,0.0
2025-06-24 09:25:04.12,0.0,0.0,0.0
2025-06-24 09:25:04.13,0.0,0.0,0.0
2025-06-24 09:25:04.13,0.0,0.0,0.0
2025-06-24 09:25:04.13,0.0,0.0,0.0
2025-06-24 09:25:04.13,0.0,0.0,0.0
2025-06-24 09:25:04.14,0.0,0.0,0.0
2025-06-24 09:25:04.14,0.0,0.0,0.0
2025-06-24 09:25:04.14,0.0,0.0,0.0
